127.0.0.1 - - [02/Jan/2024:11:44:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:44:45 +0530] "GET /AdminEventApp/eventCreate.jsp HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:44:45 +0530] "GET /AdminEventApp/css/createEvent.css HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:44:45 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:49:00 +0530] "GET /AdminEventApp/eventCreate.jsp HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:56:15 +0530] "GET /AdminEventApp/eventCreate.jsp HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:56:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:59:08 +0530] "GET /AdminEventApp/eventCreate.jsp HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:59:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:59:10 +0530] "POST /AdminEventApp/event HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:59:16 +0530] "GET /AdminEventApp/eventCreate.jsp HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:59:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:59:19 +0530] "POST /AdminEventApp/event HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:59:29 +0530] "GET /AdminEventApp/eventCreate.jsp HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:59:30 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:59:32 +0530] "POST /AdminEventApp/event HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:59:41 +0530] "GET /AdminEventApp/eventCreate.jsp HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:59:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jan/2024:11:59:56 +0530] "POST /AdminEventApp/readevent HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [02/Jan/2024:12:00:00 +0530] "GET /AdminEventApp/eventCreate.jsp HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [02/Jan/2024:12:00:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jan/2024:12:05:35 +0530] "GET /AdminEventApp/eventCreate.jsp HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [02/Jan/2024:12:05:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jan/2024:12:05:50 +0530] "POST /AdminEventApp/readevent HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [02/Jan/2024:12:13:56 +0530] "GET /AdminEventApp/eventCreate.jsp HTTP/1.1" 200 2853
0:0:0:0:0:0:0:1 - - [02/Jan/2024:12:13:56 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jan/2024:12:14:16 +0530] "GET /AdminEventApp/eventCreate.jsp HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [02/Jan/2024:12:16:32 +0530] "GET /AdminEventApp/eventCreate.jsp HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [02/Jan/2024:12:16:32 +0530] "GET /favicon.ico HTTP/1.1" 404 762
